*** This text file contains every unique word found within the old query
*** file. Each word is preceeded by a number, which represents the index
*** that when passed into the Dictionary.get() method, returns the
*** corresponding String. For fun, at the bottom of this file, there is a
*** giant block of text which shows how all of the words are stored as a
*** singular string within the Dictionary class. Happy reading!

161    |     9003076 | 1      | ecosystem
162    |     9001632 | 4      | edgewater
163    |     9003720 | 1      | elopement
164    |     7000803 | 5      | emerald
165    |     9002194 | 14     | englewood
166    |    13002052 | 1      | entertainment
167    |     7001855 | 8      | erosion
168    |     6002011 | 23     | estate
169    |     6003374 | 1      | estero
170    |     6003131 | 1      | events
171    |     5002103 | 5      | facts
172    |     8000665 | 52     | families
173    |     6001713 | 11     | family
174    |     6001843 | 16     | famous
175    |     3000170 | 16     | far
176    |     4000856 | 12     | feed
177    |    10003202 | 1      | fernandina
178    |     9003459 | 1      | festivals
179    |     7001641 | 18     | fishing
180    |     2001266 | 30     | fl
181    |     4002676 | 1      | flag
182    |     7003277 | 1      | flagler
183    |     5000476 | 15     | flags
184    |     5003534 | 1      | fleas
185    |     7000000 | 14585  | florida
186    |     4003890 | 1      | food
187    |     8003821 | 1      | forecast
188    |     4000158 | 114    | fort
189    |     5002424 | 1      | found
190    |     4002843 | 3      | free
191    |     8003732 | 1      | friendly
192    |     5001471 | 21     | front
193    |     2001929 | 17     | ft
194    |     3001490 | 14     | fun
195    |     9003234 | 2      | furniture
196    |     2003284 | 1      | ga
197    |     6001755 | 9      | gables
198    |    11001808 | 1      | gainesville
199    |     4003597 | 1      | gear
200    |     7000594 | 17     | georgia
201    |     7002847 | 2      | getaway
202    |     8001192 | 9      | getaways
203    |     4000413 | 162    | girl
204    |     5001234 | 40     | girls
205    |     5001570 | 6      | glass
206    |     2001605 | 1      | go
207    |     4002211 | 10     | gold
208    |     4002364 | 2      | golf
209    |     5002091 | 21     | gorda
210    |     6002134 | 2      | grande
211    |     5002419 | 7      | great
212    |     6003754 | 1      | grille
213    |     5002042 | 6      | guide
214    |     4000103 | 339    | gulf
215    |     8003746 | 1      | gulfport
216    |     9000520 | 1      | halfathon
217    |    10002899 | 1      | hallandale
218    |     7003546 | 1      | hammock
219    |     7002985 | 1      | harbour
220    |     8001268 | 12     | hernando
221    |     5000851 | 9      | hills
222    |     6000360 | 16     | hilton
223    |     7000933 | 10     | hiltons
224    |     8001696 | 5      | historic
225    |     4003040 | 1      | hobe
226    |     9000141 | 142    | hollywood
227    |     4001338 | 42     | home
228    |     5000601 | 247    | homes
229    |     9001276 | 2      | honeymoon
230    |    10003811 | 1      | honeymoons
231    |     5003363 | 1      | horse
232    |     7001877 | 1      | hostels
233    |     5001451 | 71     | hotel
234    |     6000019 | 457    | hotels
235    |     7002854 | 1      | hottest
236    |     5000465 | 175    | house
237    |     6000381 | 106    | houses
238    |     6002259 | 5      | howard
239    |     6000821 | 32     | hudson
240    |     5001021 | 22     | hyatt
241    |     5002701 | 4      | ideas
242    |     3002392 | 7      | ihg
243    |     5002318 | 1      | image
244    |     6001217 | 7      | images
245    |     9000495 | 10     | inclusive
246    |     6002992 | 4      | indian
247    |     7002778 | 5      | indiana
248    |    11000633 | 8      | information
249    |     5001917 | 1      | inlet
250    |     3003219 | 1      | inn
251    |     4001648 | 1      | inns
252    |     6001832 | 4      | insect
253    |    10001368 | 12     | islamorada
254    |     6000423 | 86     | island
255    |     7001080 | 1      | islands
256    |     5002254 | 1      | isles
257    |    12000555 | 87     | jacksonville
258    |     7003095 | 2      | january
259    |     9002162 | 1      | jellyfish
260    |     6001950 | 16     | jensen
261    |     5002329 | 4      | jetty
